index,text,label
32,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure. Annie spends 2 hours a week on chess club, 8 hours a week on drama club, and 3 hours a week on glee club. That's a total of 13 hours a week. In one semester, there are 12 weeks, so Annie does 12 x 13 = 156 hours of extracurricular activities in one semester. Taking the first two weeks off sick, she does extracurriculars for 12-2 = 10 weeks before midterms. But since there are only 6 weeks before midterms, she does 6 x 13 = 78 hours of extracurricular activities before midterms.
",probing
33,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I have taken Annie's sickness into account. She does extracurriculars for 12-2 = 10 weeks before midterms, but since there are only 6 weeks before midterms, she does 6 x 13 = 78 hours of extracurricular activities before midterms. So, taking her sickness into account, Annie does 78 hours of extracurricular activities before midterms.
",telling
34,"
The following is a fragment of a conversation between a student and a teacher:
Student: Oh, I see. So, Annie does extracurriculars for 12-2 = 10 weeks before midterms, but since she was sick for 2 of those weeks, she only does 8 weeks of extracurriculars before midterms. That means she does 8 x 13 = 104 hours of extracurricular activities before midterms.
",telling
35,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure. Annie spends 2 hours a week on chess club, 8 hours a week on drama club, and 3 hours a week on glee club. That's a total of 13 hours a week. In one semester, there are 12 weeks, so Annie does 12 x 13 = 156 hours of extracurricular activities in one semester. Taking the first two weeks off sick, she does extracurriculars for 12-2 = 10 weeks before midterms. But since she was sick for 2 of those weeks, she only does 8 weeks of extracurriculars before midterms. That means she does 8 x 13 = 104 hours of extracurricular activities before midterms.
",telling
36,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, that makes sense. So, Annie spends 2 hours a week on chess club, 8 hours a week on drama club, and 3 hours a week on glee club. That's a total of 13 hours a week. In one semester, there are 12 weeks, so Annie does 12 x 13 = 156 hours of extracurricular activities in one semester. Taking the first two weeks off sick, she does extracurriculars for 12-2 = 10 weeks before midterms. But since she was sick for 2 of those weeks, she only does 8 weeks of extracurriculars before midterms. That means she does 8 x 13 = 104 hours of extracurricular activities before midterms, minus the 2 weeks she was sick, so she does 4 x 13 = 52 hours of extracurricular activities before midterms.
",telling
37,"
The following is a fragment of a conversation between a student and a teacher:
Student: Ah, I see. So, Annie spends 2 hours a week on chess club, 8 hours a week on drama club, and 3 hours a week on glee club. That's a total of 13 hours a week. In one semester, there are 12 weeks, but we only want to know her hours before the midterms, which is 12/2 = 6 weeks. But she is ill the first 2 weeks of term, so 6-2 = 4 weeks. We multiply her extracurricular hrs per week by those weeks to get our answer 13*4 = 52 hours.
",generic
38,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure. I started by calculating the percent of students who are learning from home, which is 40%. Then I subtracted that from 100% to get the percent of students who are in school, which is 60%. I then divided that number by two to get the percent of students in each group, which is 30%. Finally, I divided that number by two again to get the percent of students present in school on any given day, which is 15%.
",focus
39,"
The following is a fragment of a conversation between a student and a teacher:
Student: My next step was to subtract the number of students from home (40%) from 100% to get the number of students in school (60%). Then I divided that number by two to get the percent of students in each group (30%). Finally, I divided that number by two again to get the percent of students present in school on any given day (15%).
",focus
40,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure. The original question asked what percent of students are present in school. To answer this, I first found the percent of students learning from home (40%). Then I subtracted that from 100% to get the percent of students in school (60%). I then divided that number by two to get the percent of students in each group (30%). Finally, I divided that number by two again to get the percent of students present in school on any given day, which was the answer to the original question (15%).
",focus
41,"
The following is a fragment of a conversation between a student and a teacher:
Student: The question asked me to find the percent of students present in school on any given day. So in my fourth step, I divided the 30% of students in each group by two again to get the percent of students present in school on any given day, which was the answer to the original question (15%).
",focus
42,"
The following is a fragment of a conversation between a student and a teacher:
Student: The question states that the remaining 60% of students are divided into two equal groups, so my first calculation split that 60% into two equal groups of 30%. This means that each group represents 30% of the total students.
",focus
43,"
The following is a fragment of a conversation between a student and a teacher:
Student: Since only one of the two groups is physically in school on any day, that means 30%/2 = 15% of the total students are present in school on any given day.
",focus
44,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, the question asked me to find the percent of students present in school on any given day, so I divided the 30% of students in each group by two again to get the percent of students present in school on any given day, which was the answer to the original question (15%).
",telling
45,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I see now that I have duplicated the calculation. The question asked how many students are present in school on any given day, so I should have just used the 30% of students in each group to answer the question, rather than dividing it by two again. So the correct answer is 30%.
",generic
46,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure! I started by setting up an equation. I let x represent the number of cans Jack recycled, so I knew that he made 10 cents per bottle and 5 cents per can. I multiplied 10 cents by 80 bottles to get his earnings from the bottles, which was 800 cents or $8. Then I multiplied 5 cents by x cans to get his earnings from the cans, which was 0.05x dollars. I added the two together to get his total earnings, which was 800 + 0.05x = 1500 cents or $15. Then I simplified the equation to 0.05x = 700 and divided both sides by 0.05 to get x = 1400/5 = 280. So, Jack recycled 280 cans.
",probing
47,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, all the units look correct. I used cents for the bottle and can deposits, and dollars for the total earnings.
",focus
48,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, there is a simpler way to approach the problem. I could have subtracted the earnings he made from the bottles ($8) from the total earnings ($15) to get the earnings he made from the cans, which is $7. Then I could have divided the earnings from the cans by 5 cents to get the number of cans he recycled, which is 140 cans.
",generic
49,"
The following is a fragment of a conversation between a student and a teacher:
Student: Hi, sure. I started by figuring out how many minutes were in two hours, which is 120 minutes. Then I figured out that one round trip on the ski lift and skiing down the mountain takes a total of 20 minutes. So I divided 120 minutes by 20 minutes to get 6 round trips. Then I multiplied 6 round trips by 2 to get the total number of times a person can ski down the mountain in 2 hours, which is 12.
",focus
50,"
The following is a fragment of a conversation between a student and a teacher:
Student: My second step calculated how many round trips a person can make in two hours, which is 6 round trips.
",focus
51,"
The following is a fragment of a conversation between a student and a teacher:
Student: My last step calculated the total number of times a person can ski down the mountain in 2 hours, which is 12 times.
",focus
52,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I started by figuring out how many minutes were in two hours, which is 120 minutes. Then I figured out that one round trip on the ski lift and skiing down the mountain takes a total of 20 minutes. So I divided 120 minutes by 20 minutes to get 6 round trips. Then I multiplied 6 round trips by 2 to get the total number of times a person can ski down the mountain in 2 hours, which is 12. This matches the answer to the problem, which is the most number of times a person can ski down the mountain in 2 hours.
",focus
53,"
The following is a fragment of a conversation between a student and a teacher:
Student: My first calculation was based on the fact that it takes 15 minutes to ride the lift from the bottom to the top of the mountain, and then it takes 5 minutes to ski back down the mountain. So I calculated that one round trip on the ski lift and skiing down the mountain takes a total of 15 + 5 = 20 minutes.
",focus
54,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I started by calculating the amount of time it takes to complete one round trip on the ski lift and skiing down the mountain, which is 20 minutes. Then I used this figure to calculate how many round trips can be completed in two hours, which is 6 round trips. Finally, I multiplied 6 round trips by 2 to get the total number of times a person can ski down the mountain in 2 hours, which is 12 times.
",focus
55,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I started by calculating the number of minutes in two hours, which is 120 minutes. Then I used this figure to calculate how many round trips can be completed in two hours, which is 6 round trips. Finally, I multiplied 6 round trips by 2 to get the total number of times a person can ski down the mountain in 2 hours, which is 12 times. This matches the answer to the problem, which is the most number of times a person can ski down the mountain in 2 hours.
",telling
56,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I can see the duplication in my solution. I first calculated how many round trips can be completed in two hours, which is 6 round trips. Then I multiplied 6 round trips by the time it takes to complete one round trip on the ski lift and skiing down the mountain, which is 20 minutes. This gives me the total number of minutes it would take to make 6 round trips, which is 120 minutes. Finally, I multiplied 6 round trips by 2 to get the total number of times a person can ski down the mountain in 2 hours, which is 12 times.
",probing
57,"
The following is a fragment of a conversation between a student and a teacher:
Student: The correct number of times a skier could ski down the mountain in 2 hours would be 6 times. This is because it takes 15 minutes to ride the lift from the bottom to the top of the mountain, and then it takes 5 minutes to ski back down the mountain. So one round trip on the ski lift and skiing down the mountain takes a total of 15 + 5 = 20 minutes. In 120 minutes, a person can make 120/20 = 6 round trips.
",generic
58,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure. I let x be the number of pounds of strawberries they picked. Then I used the fact that the cost of the strawberries before deducting the entrance fee is 20x. After deducting the $4 entrance fee, their total cost is 20x - 4. Since we know their total cost is $128, I set up the equation 20x - 4 = 128. I then added 4 to both sides to get 20x = 132. Finally, I divided both sides by 20 to get x = 6.6, which means they picked 6.6 pounds of strawberries.
",focus
59,"
The following is a fragment of a conversation between a student and a teacher:
Student: They paid $4 for entrance.
",probing
60,"
The following is a fragment of a conversation between a student and a teacher:
Student: We would multiply the entrance fee by 3, since there were 3 people who went. So the entrance fee would be 3 x $4 = $12. We would then subtract the entrance fee from the total cost, so the equation would be 20x - 12 = 128.
",focus
61,"
The following is a fragment of a conversation between a student and a teacher:
Student: After subtracting the entrance fee, the equation would be 20x - 12 = 128. Solving for x, we would get x = 6.8, so they picked 6.8 pounds of strawberries.
",telling
62,"
The following is a fragment of a conversation between a student and a teacher:
Student: The total entrance fee would be 3 x $4 = $12.
",telling
63,"
The following is a fragment of a conversation between a student and a teacher:
Student: We know that the total cost of the strawberries was $128 and the entrance fee was $12. Adding these together, we get $128 + $12 = $140. So the total cost of the strawberries and entrance fee was $140.
",generic
64,"
The following is a fragment of a conversation between a student and a teacher:
Student: We need to divide the total cost of $140 by the cost per pound of $20. This will tell us how many pounds of strawberries they picked. Dividing $140 by $20, we get 7 pounds. Therefore, they picked 7 pounds of strawberries.
",generic
65,"
The following is a fragment of a conversation between a student and a teacher:
Student: Each person used 2 plates per meal, so 6 people would use 6 x 2 = 12 plates per day. Therefore, 12 x 4 = 48 plates were used in 4 days.
",probing
66,"
The following is a fragment of a conversation between a student and a teacher:
Student: Each person ate 3 meals per day, so 6 people would eat 6 x 3 = 18 plates per day. Therefore, 18 x 4 = 72 plates were used in 4 days.
",telling
67,"
The following is a fragment of a conversation between a student and a teacher:
Student: That is correct. So, 36 x 4 = 144 plates were used in 4 days. Since each person uses 2 plates per meal, then they use 2 x 3 = 6 plates per day. Therefore, 6 x 4 = 24 plates were used in 4 days. Hence, a total of 144 + 24 = 168 plates were used altogether.
",telling
68,"
The following is a fragment of a conversation between a student and a teacher:
Student: Oh, I see. The total should be 72 + 24 = 96 plates.
",telling
69,"
The following is a fragment of a conversation between a student and a teacher:
Rishi: Hi, I think I solved the problem correctly but I'm not sure. The answer I got was $247.
",generic
70,"
The following is a fragment of a conversation between a student and a teacher:
Rishi: Well, I subtracted the two transfers from the original balance of $400. So, the first transfer of $90 had a service charge of 2% which is $1.8, so the total was $91.8. The second transfer of $60 had a service charge of 2% which is $1.2, so the total was $61.2. So, the total amount taken out of the account was $91.8 + $61.2 = $153. Then I subtracted that from the original balance of $400 and got $247.
",telling
71,"
The following is a fragment of a conversation between a student and a teacher:
Rishi: Thanks! So, the second part of subtracting the total amount from the original balance is also correct?
",focus
72,"
The following is a fragment of a conversation between a student and a teacher:
Rishi: Oh, okay. What did I do wrong?
",probing
73,"
The following is a fragment of a conversation between a student and a teacher:
Rishi: Ah, I see. So, the second transaction was reversed, so the $60 was added back to the account without the service charge. So, the total amount added back to the account was $60. Then I subtracted that from the original balance of $400 and got $340.
",telling
74,"
The following is a fragment of a conversation between a student and a teacher:
Rishi: Right, so the total amount added back to the account was $90 + $1.8 + $1.2 = $93. Then I subtracted that from the original balance of $400 and got $307.
",generic
75,"
The following is a fragment of a conversation between a student and a teacher:
Student: Jame tears cards 3 times a week.
",probing
76,"
The following is a fragment of a conversation between a student and a teacher:
Student: Jame can tear 3 x 30 = 90 cards per week.
",probing
77,"
The following is a fragment of a conversation between a student and a teacher:
Student: We can divide 990 by 90 to get the total number of weeks, which is 11 weeks.
",generic
78,"
The following is a fragment of a conversation between a student and a teacher:
Student: Henry has 6 rock CDs in his collection. We can calculate this by substituting 3 for C in the equation R = C + 3 to get R = 3 + 3 = 6.
",telling
79,"
The following is a fragment of a conversation between a student and a teacher:
Student: Oh, right. Henry has 20 rock CDs in his collection. We can calculate this by subtracting 3 from 23 to get 20.
",focus
80,"
The following is a fragment of a conversation between a student and a teacher:
Student: If we need to calculate the number of classical CDs given the number of rock CDs, we can use the equation R = 2C. We can solve for C by dividing both sides of the equation by 2 to get C = R/2.
",focus
81,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure. I started by setting up an equation, with P being Pam's current age and R being Rena's current age. We know that P = 2R, so I substituted that into the second equation, which was R + 10 = P + 10 + 5. I then simplified the equation to R = 5. Finally, I substituted that back into the original equation to get P = 2R = 2(5) = 10.
",generic
82,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, that's correct. I used that information to set up the equation P = 2R, which stated that Pam's current age was twice as young as Rena's current age. Then, I used that equation to solve for Rena's age and Pam's age.
",generic
83,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I understand now. Pam is half the age of Rena, or Rena is twice as old as Pam. That's why I used the equation P = 2R to represent that relationship. Then, I used that equation to solve for Rena's age and Pam's age.
",probing
84,"
The following is a fragment of a conversation between a student and a teacher:
Student: Since I am twice as young as you, my age would be 12 years old.
",probing
85,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, since we know that Pam is twice as young as Rena, we can use the equation P = 2R to find Pam's current age. So, if Rena's current age is R, then Pam's current age would be 2R.
",telling
86,"
The following is a fragment of a conversation between a student and a teacher:
Student: Oh, I see. Yes, you're right. If Rena's current age is R, then Pam's current age would be half of R, or R = 2P.
",probing
87,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, if Rena's current age is R, then Pam's current age would be half of R, or R = 2P. Therefore, if Rena is currently 5 years old, then Pam is currently 2(5) = 10 years old.
",focus
88,"
The following is a fragment of a conversation between a student and a teacher:
Student: Okay, let's take Pam's current age as 'x'. We know that Pam is twice as young as Rena, so we can use the equation P = 2R to find Pam's current age. If Rena is currently 5 years old, then Pam's current age would be 2(5) = 10 years old, so x = 10.
",focus
89,"
The following is a fragment of a conversation between a student and a teacher:
Student: Since we know that Pam is twice as young as Rena, we can use the equation P = 2R to find Rena's current age. If Pam is currently 10 years old, then Rena's current age would be 2(10) = 20 years old.
",generic
90,"
The following is a fragment of a conversation between a student and a teacher:
Student: If Pam is 'x' years old now, then Rena's current age would be 2x. So if Pam is currently 10 years old, then Rena's current age would be 2(10) = 20 years old.
",probing
91,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I'm sure. We know that Pam is twice as young as Rena, so we can use the equation P = 2R to find Pam's current age. If Rena is currently 5 years old, then Pam's current age would be 2(5) = 10 years old, so x = 10.
",focus
92,"
The following is a fragment of a conversation between a student and a teacher:
Student: Oh, I see. Yes, that's correct. In 10 years, Rena will be 5 years older than Pam, so R + 10 = P + 10 + 5. Substituting P = 2R into the second equation, we get R + 10 = 2R + 15. Simplifying, we get R = 5. Therefore, Pam is currently P = 2R = 2(5) = 10 years old.
",generic
93,"
The following is a fragment of a conversation between a student and a teacher:
Student: The question states that Pam is currently twice as young as Rena is, and in 10 years Rena will be 5 years older than her.
",generic
94,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, 'twice as young' means that Pam is younger than Rena by two times. So, Pam is half the age of Rena, or Rena is twice as old as Pam.
",focus
95,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, since we know that Pam is twice as young as Rena, we can use the equation P = 2R to find Rena's current age. If Pam is currently 'x' years old, then Rena's current age would be 2x.
",focus
96,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, in 10 years, Rena will be 5 years older than Pam, so we can form the equation 2x + 10 = x + 10 + 5.
",focus
97,"
The following is a fragment of a conversation between a student and a teacher:
Student: We can then simplify the equation to 2x = x + 15, which simplifies to x = 15. Therefore, if Rena is currently 5 years old, then Pam is currently 2(5) = 10 years old.
",telling
98,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, that's correct. If we simplify the equation 2x + 10 = x + 10 + 5, we get x = 5. Therefore, if Rena is currently 5 years old, then Pam is currently 2(5) = 10 years old.
",focus
99,"
The following is a fragment of a conversation between a student and a teacher:
Student: x is equal to 5. Therefore, if Rena is currently 5 years old, then Pam is currently 2(5) = 10 years old.
",focus
100,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I understand. We took Pam's age as x and used the equation P = 2R to find Rena's current age. Then, we formed the equation 2x + 10 = x + 10 + 5 and simplified it to x = 5. Therefore, if Rena is currently 5 years old, then Pam is currently 2(5) = 10 years old.
",telling
101,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure. I started by figuring out how much Shara borrowed, which was 6 months x $10 = $60. Then, I figured out how much she was able to return, which was half of the money she borrowed, which is $60/2 = $30. So, she still owes her brother $60 - $30 = $30. Since she did not mention that she will be making further payments, in 4 months she will still owe $30.
",probing
102,"
The following is a fragment of a conversation between a student and a teacher:
Student: I have returned 10 pencils to you in total, since I borrowed them 10 months ago.
",probing
103,"
The following is a fragment of a conversation between a student and a teacher:
Student: Shara returned $10 per month for a total of 6 x $10 = $60 in 6 months.
",focus
104,"
The following is a fragment of a conversation between a student and a teacher:
Student: Then, I figured out how much she was able to return, which was half of the money she borrowed, which is $60/2 = $30. So, she still owes her brother $60 - $30 = $30. Since she did not mention that she will be making further payments, in 4 months she will still owe $30.
",focus
105,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I am sure. Since Shara returned half of the money she borrowed, that means she has returned $60. Therefore, the total amount of money borrowed was $60/2 = $30.
",focus
106,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, you are correct. The total money borrowed was $60 x 2 = $120.
",probing
107,"
The following is a fragment of a conversation between a student and a teacher:
Student: To calculate how much Shara still owes her brother 4 months from now, I need to subtract the amount she has already returned ($60) from the total amount borrowed ($120). Therefore, she will still owe her brother $120 - $60 = $60 4 months from now.
",focus
108,"
The following is a fragment of a conversation between a student and a teacher:
Student: Four months from now, she will be able to pay an additional amount of $10 x 4 = $40 to her brother. Therefore, she will owe her brother $120 - $60 - $40 = $20 4 months from now.
",generic
109,"
The following is a fragment of a conversation between a student and a teacher:
Teacher: v
",generic
110,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure. Antonio has 8 family members including himself, so he needs to make enough meatballs for 7 people. He has 4 pounds of hamburger, which is enough to make 4/(1/8) = 32 meatballs. Since each person will eat an equal number of meatballs, each person can have 32/8 = 4 meatballs. Antonio himself will also eat 4 meatballs, so he will eat a total of 4+4 = 8 meatballs.
",probing
111,"
The following is a fragment of a conversation between a student and a teacher:
Student: Antonio has 8 family members including himself, but he needs to make enough meatballs for 7 people because he himself will also eat. So he needs to make enough meatballs for 7 people and then he will eat the 8th one.
",probing
112,"
The following is a fragment of a conversation between a student and a teacher:
Student: I need to distribute papers to 19 students because I will also be taking the test. So I need to distribute papers to 19 students in order to make sure everyone has a paper.
",probing
113,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I am sure that it is 19 and not 20. Since I am also taking the test, I need to distribute papers to 19 students so that everyone has a paper.
",probing
114,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, that is correct. I need to distribute papers to 19 other students as well as myself, which brings the total to 20.
",probing
115,"
The following is a fragment of a conversation between a student and a teacher:
Student: Antonio needs to make enough meatballs for 7 people because he himself will also eat one meatball. So he needs to make enough meatballs for 7 people and then he will eat the 8th one.
",focus
116,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, that is correct. Antonio needs to make meatballs for 8 people, including himself. He needs to make enough meatballs for 7 people and then he will eat the 8th one.
",probing
117,"
The following is a fragment of a conversation between a student and a teacher:
Student: The next step is to calculate how many meatballs Antonio needs to make. He needs 1/8 pound of hamburger per meatball, so he can make 4/(1/8) = 32 meatballs. Since each family member will eat an equal number of meatballs, each person can have 32/8 = 4 meatballs. Antonio himself will also eat 4 meatballs, so he will eat a total of 4+4 = 8 meatballs.
",telling
118,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, Antonio is included in the 8 people. Adding an extra 4 meatballs at the last step is correct because Antonio himself will also eat 4 meatballs, so he will eat a total of 4+4 = 8 meatballs.
",telling
119,"
The following is a fragment of a conversation between a student and a teacher:
Student: I multiplied 220 with 2 because I wanted to find out how many hours Rita will be swimming each month. 220 hours of freestyle and 220 hours of sidestroke adds up to 440 hours of swimming every month.
",focus
120,"
The following is a fragment of a conversation between a student and a teacher:
Student: I understand now. So, Rita will be swimming 220 hours of freestyle and sidestroke combined each month. That means she needs to swim 1320/220 = 6 months in order to fulfill her coach's requirements.
",generic
121,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, I'm sure that Jack has only this much. I did the calculations correctly and double-checked my answer with a calculator.
",probing
122,"
The following is a fragment of a conversation between a student and a teacher:
Student: Jack has 42 pounds, 11 euros, and 3000 yen.
",focus
123,"
The following is a fragment of a conversation between a student and a teacher:
Student: I included the 3000 yen when I added up all the pounds he had: 42 pounds + 11 euros x 2 pounds/euro = 64 pounds. Then I converted the pounds to yen: 64 pounds x 100 yen/pound = 6400 yen.
",probing
124,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, 11 euros = 22 pounds. 11 euros x 2 pounds/euro = 22 pounds.
",probing
125,"
The following is a fragment of a conversation between a student and a teacher:
Student: Jack has a total of 64 pounds. 42 pounds + 22 pounds = 64 pounds.
",probing
126,"
The following is a fragment of a conversation between a student and a teacher:
Student: Yes, 64 pounds = 6400 yen. 64 pounds x 100 yen/pound = 6400 yen.
",focus
127,"
The following is a fragment of a conversation between a student and a teacher:
Student: To calculate the total number of yen that Jack has, I would add up the 3000 yen he already had with the 6400 yen he has from the 64 pounds. 3000 yen + 6400 yen = 9400 yen.
",generic
128,"
The following is a fragment of a conversation between a student and a teacher:
Student: Sure! I started by calculating the number of people in the cars at the start of the race, which is 20 x 3 = 60. Then, when the cars pass the halfway point, each car gains another passenger, so the number of people in each car increases to 4. This means that the number of people in the cars after the halfway point is 20 x 4 = 80. So, the total number of people in the cars by the end of the race is 60 + 80 = 140.
",probing
129,"
The following is a fragment of a conversation between a student and a teacher:
Student: Jack has a total of 7 x 7 = 49 fruits. He had 5 fruits in each basket to start with, so that's 7 x 5 = 35 fruits. Then he put 2 more fruits in each basket, so that's 7 x 2 = 14 more fruits. So 35 + 14 = 49 fruits in total.
",focus
